time,air_pressure_at_sea_level,air_temperature,cloud_area_fraction,relative_humidity,wind_from_direction,wind_speed,next_1_hours_precipitation_amount
2024-08-21T07:00:00Z,1001.4,15.0,100.0,94.4,144.1,3.5,0.2
2024-08-21T08:00:00Z,1001.6,15.1,100.0,96.2,147.9,2.3,0.5
2024-08-21T09:00:00Z,1001.8,15.3,100.0,94.4,173.9,1.6,1.0
2024-08-21T10:00:00Z,1002.1,15.4,100.0,93.6,174.5,1.8,0.4
2024-08-21T11:00:00Z,1002.1,15.8,100.0,89.7,133.2,1.5,0.0
2024-08-21T12:00:00Z,1002.1,16.2,100.0,86.4,120.1,1.6,0.0
2024-08-21T13:00:00Z,1002.3,16.3,100.0,89.2,197.8,2.0,0.0
2024-08-21T14:00:00Z,1002.3,16.9,100.0,86.8,183.9,2.7,0.0
2024-08-21T15:00:00Z,1002.2,17.2,42.3,79.5,182.8,2.2,0.0
2024-08-21T16:00:00Z,1002.0,17.2,7.5,76.1,177.2,2.4,0.0
2024-08-21T17:00:00Z,1002.1,17.1,7.4,67.9,183.4,2.6,0.0
2024-08-21T18:00:00Z,1002.3,16.3,47.3,71.8,171.2,2.3,0.0
2024-08-21T19:00:00Z,1002.2,14.9,36.6,77.3,154.0,2.5,0.0
2024-08-21T20:00:00Z,1002.4,13.6,5.8,83.4,152.4,1.2,0.0
2024-08-21T21:00:00Z,1002.5,12.7,2.5,88.7,139.9,2.1,0.0
2024-08-21T22:00:00Z,1002.7,12.0,9.5,93.1,138.6,2.1,0.0
2024-08-21T23:00:00Z,1002.7,11.6,5.9,94.5,136.5,1.7,0.0
2024-08-22T00:00:00Z,1002.6,11.0,16.7,95.7,118.8,1.2,0.0
2024-08-22T01:00:00Z,1002.5,10.9,36.3,96.4,119.0,1.4,0.0
2024-08-22T02:00:00Z,1002.6,10.8,63.9,97.9,146.2,1.8,0.0
2024-08-22T03:00:00Z,1002.6,10.9,89.5,99.4,154.9,1.9,0.0
2024-08-22T04:00:00Z,1002.5,11.2,96.6,99.3,161.0,2.0,0.0
2024-08-22T05:00:00Z,1002.6,11.0,95.2,98.4,185.6,2.5,0.0
2024-08-22T06:00:00Z,1002.5,11.5,84.1,88.1,190.4,2.3,0.0
