time,air_pressure_at_sea_level,air_temperature,cloud_area_fraction,relative_humidity,wind_from_direction,wind_speed,next_1_hours_precipitation_amount
2024-08-21T11:00:00Z,1002.3,16.0,98.0,93.0,150.0,1.5,0.5
2024-08-21T12:00:00Z,1002.3,16.4,98.0,93.0,161.0,1.5,0.4
2024-08-21T13:00:00Z,1002.5,16.7,98.0,90.0,195.0,1.9,0.3
2024-08-21T14:00:00Z,1002.3,16.9,73.5,85.0,184.0,2.0,0.0
2024-08-21T15:00:00Z,1002.4,17.4,36.75,78.0,201.0,2.5,0.0
2024-08-21T16:00:00Z,1002.3,17.3,24.5,76.0,179.0,2.2,0.0
2024-08-21T17:00:00Z,1002.5,16.9,24.5,67.0,184.0,3.2,0.0
2024-08-21T18:00:00Z,1002.6,16.0,36.75,72.0,181.0,1.8,0.0
2024-08-21T19:00:00Z,1002.6,14.6,24.5,76.0,146.0,2.1,0.0
2024-08-21T20:00:00Z,1002.8,13.2,12.25,80.0,145.0,1.6,0.0
2024-08-21T21:00:00Z,1002.9,12.1,12.25,88.0,121.0,0.7,0.0
2024-08-21T22:00:00Z,1002.9,11.2,12.25,93.0,103.0,1.2,0.0
2024-08-21T23:00:00Z,1002.8,10.7,12.25,95.0,96.0,1.7,0.0
2024-08-22T00:00:00Z,1002.6,10.4,36.75,96.0,84.0,1.5,0.0
2024-08-22T01:00:00Z,1002.6,10.4,61.25,96.0,97.0,1.1,0.0
2024-08-22T02:00:00Z,1002.6,10.8,85.75,98.0,126.0,1.3,0.0
2024-08-22T03:00:00Z,1002.7,11.3,98.0,99.0,160.0,2.0,0.0
2024-08-22T04:00:00Z,1002.5,11.3,98.0,99.0,171.0,2.1,0.0
2024-08-22T05:00:00Z,1002.4,11.3,98.0,99.0,181.0,2.2,0.0
2024-08-22T06:00:00Z,1002.4,12.0,98.0,89.0,190.0,2.4,0.0
2024-08-22T07:00:00Z,1002.5,12.7,98.0,82.0,191.0,2.6,0.0
2024-08-22T08:00:00Z,1002.7,13.0,98.0,76.0,192.0,3.3,0.0
2024-08-22T09:00:00Z,1002.6,12.3,98.0,82.0,185.0,2.9,0.1
2024-08-22T10:00:00Z,1002.1,12.3,98.0,91.0,176.0,2.1,0.2
