time,air_pressure_at_sea_level,air_temperature,cloud_area_fraction,relative_humidity,wind_from_direction,wind_speed,next_1_hours_precipitation_amount
2024-08-21T11:00:00Z,1006.0,21.6,66.2,57.3,166.3,3.9,0.0
2024-08-21T12:00:00Z,1005.2,21.5,94.3,57.4,168.0,3.5,0.0
2024-08-21T13:00:00Z,1004.9,20.8,100.0,62.8,162.8,3.2,0.2
2024-08-21T14:00:00Z,1004.8,19.5,100.0,77.2,158.9,3.0,0.2
2024-08-21T15:00:00Z,1004.4,18.7,100.0,84.8,169.1,2.5,0.1
2024-08-21T16:00:00Z,1003.9,18.3,100.0,86.8,133.8,1.9,0.6
2024-08-21T17:00:00Z,1003.5,17.9,100.0,92.9,87.7,1.2,0.4
2024-08-21T18:00:00Z,1003.2,17.7,100.0,94.9,106.4,2.1,0.2
2024-08-21T19:00:00Z,1003.2,17.4,100.0,95.6,93.5,2.0,0.2
2024-08-21T20:00:00Z,1003.0,17.4,100.0,95.9,114.5,1.5,0.1
2024-08-21T21:00:00Z,1002.8,16.9,100.0,94.7,139.2,1.5,0.0
2024-08-21T22:00:00Z,1002.9,16.5,100.0,94.9,156.7,1.1,0.3
2024-08-21T23:00:00Z,1002.6,16.4,100.0,95.9,234.0,1.7,0.2
2024-08-22T00:00:00Z,1002.5,15.9,100.0,94.4,278.3,5.1,0.0
2024-08-22T01:00:00Z,1003.0,15.3,100.0,89.8,284.7,4.0,0.0
2024-08-22T02:00:00Z,1003.2,15.2,99.9,93.8,283.7,3.9,0.0
2024-08-22T03:00:00Z,1003.2,14.9,100.0,91.2,282.8,4.2,0.0
2024-08-22T04:00:00Z,1003.2,14.6,98.1,90.4,274.7,4.1,0.0
2024-08-22T05:00:00Z,1003.4,14.7,89.2,87.3,276.2,4.1,0.0
2024-08-22T06:00:00Z,1003.6,15.1,81.3,86.9,273.4,3.9,0.0
2024-08-22T07:00:00Z,1003.8,15.9,57.9,84.7,270.6,3.8,0.0
2024-08-22T08:00:00Z,1004.1,17.1,21.0,78.0,261.8,4.0,0.0
2024-08-22T09:00:00Z,1004.2,18.5,11.1,71.4,262.9,3.9,0.0
2024-08-22T10:00:00Z,1004.5,19.6,4.2,66.5,260.8,4.0,0.0
