time,air_pressure_at_sea_level,air_temperature,cloud_area_fraction,relative_humidity,wind_from_direction,wind_speed,next_1_hours_precipitation_amount
2024-08-19T13:00:00Z,1012.6,21.6,1.0,32.0,288.0,3.6,0.0
2024-08-19T14:00:00Z,1012.9,21.9,1.0,29.0,281.0,3.4,0.0
2024-08-19T15:00:00Z,1013.2,22.0,1.0,28.0,277.0,3.3,0.0
2024-08-19T16:00:00Z,1013.6,21.8,0.0,29.0,278.0,3.1,0.0
2024-08-19T17:00:00Z,1013.8,20.8,0.0,30.0,275.0,2.7,0.0
2024-08-19T18:00:00Z,1014.3,19.4,0.0,32.0,277.0,2.0,0.0
2024-08-19T19:00:00Z,1014.8,17.6,0.0,35.0,237.0,1.0,0.0
2024-08-19T20:00:00Z,1014.9,16.2,0.0,47.0,209.0,1.7,0.0
2024-08-19T21:00:00Z,1015.2,15.1,3.0,56.0,197.0,1.9,0.0
2024-08-19T22:00:00Z,1015.5,14.4,6.0,61.0,203.0,1.8,0.0
2024-08-19T23:00:00Z,1016.0,13.9,7.0,62.0,214.0,2.1,0.0
2024-08-20T00:00:00Z,1016.0,14.0,8.0,62.0,224.0,1.5,0.0
2024-08-20T01:00:00Z,1016.1,13.8,8.0,65.0,216.0,1.7,0.0
2024-08-20T02:00:00Z,1016.1,13.9,8.0,65.0,226.0,1.5,0.0
2024-08-20T03:00:00Z,1016.0,13.0,8.0,64.0,237.0,1.8,0.0
2024-08-20T04:00:00Z,1016.0,12.4,8.0,66.0,232.0,1.1,0.0
2024-08-20T05:00:00Z,1015.9,13.4,7.0,65.0,178.0,0.6,0.0
2024-08-20T06:00:00Z,1015.9,15.7,6.0,59.0,151.0,1.1,0.0
2024-08-20T07:00:00Z,1015.9,18.2,5.0,42.0,151.0,2.3,0.0
2024-08-20T08:00:00Z,1016.0,19.7,5.0,37.0,167.0,3.6,0.0
2024-08-20T09:00:00Z,1015.9,20.6,5.0,37.0,173.0,4.4,0.0
2024-08-20T10:00:00Z,1015.8,21.5,4.0,38.0,177.0,4.8,0.0
2024-08-20T11:00:00Z,1015.8,23.2,2.0,36.0,178.0,5.1,0.0
2024-08-20T12:00:00Z,1015.5,23.5,0.0,36.0,177.0,5.0,0.0
