time,data.instant.details.air_pressure_at_sea_level,data.instant.details.air_temperature,data.instant.details.cloud_area_fraction,data.instant.details.relative_humidity,data.instant.details.wind_from_direction,data.instant.details.wind_speed,data.next_12_hours.summary.symbol_code,data.next_1_hours.summary.symbol_code,data.next_1_hours.details.precipitation_amount,data.next_6_hours.summary.symbol_code,data.next_6_hours.details.precipitation_amount
2024-08-19T12:00:00Z,1012.8,19.4,40.5,36.7,220.5,3.2,partlycloudy_day,partlycloudy_day,0.0,partlycloudy_day,0.0
2024-08-19T13:00:00Z,1012.7,20.1,44.6,36.2,211.4,3.9,partlycloudy_day,partlycloudy_day,0.0,partlycloudy_day,0.0
2024-08-19T14:00:00Z,1012.8,20.1,5.1,38.6,203.5,4.9,cloudy,clearsky_day,0.0,partlycloudy_day,0.0
2024-08-19T15:00:00Z,1012.6,20.1,34.9,39.0,194.0,5.6,cloudy,fair_day,0.0,partlycloudy_day,0.0
2024-08-19T16:00:00Z,1012.7,19.1,82.3,47.4,182.5,5.9,cloudy,partlycloudy_day,0.0,partlycloudy_night,0.0
2024-08-19T17:00:00Z,1012.8,18.3,51.7,55.0,181.7,5.6,cloudy,partlycloudy_day,0.0,partlycloudy_night,0.0
2024-08-19T18:00:00Z,1013.1,17.3,85.6,61.1,176.3,5.4,cloudy,partlycloudy_day,0.0,partlycloudy_night,0.0
2024-08-19T19:00:00Z,1013.1,16.3,99.7,67.6,168.1,4.8,cloudy,partlycloudy_night,0.0,partlycloudy_night,0.0
2024-08-19T20:00:00Z,1012.9,15.7,99.7,72.3,168.5,4.8,cloudy,partlycloudy_night,0.0,cloudy,0.0
2024-08-19T21:00:00Z,1013.0,15.4,99.8,74.1,178.6,5.2,cloudy,partlycloudy_night,0.0,cloudy,0.0
2024-08-19T22:00:00Z,1013.0,15.3,99.3,74.2,184.1,5.3,cloudy,partlycloudy_night,0.0,cloudy,0.0
2024-08-19T23:00:00Z,1013.1,15.1,98.2,76.6,177.6,4.6,cloudy,partlycloudy_night,0.0,cloudy,0.0
2024-08-20T00:00:00Z,1012.8,15.1,99.6,77.6,184.9,5.2,cloudy,partlycloudy_night,0.0,cloudy,0.0
2024-08-20T01:00:00Z,1012.6,15.3,93.5,74.4,196.1,5.3,lightrain,cloudy,0.0,cloudy,0.0
2024-08-20T02:00:00Z,1012.4,15.3,99.3,77.6,194.4,3.7,lightrain,cloudy,0.0,cloudy,0.0
2024-08-20T03:00:00Z,1012.0,15.6,99.7,80.7,183.5,3.1,lightrain,cloudy,0.0,cloudy,0.0
2024-08-20T04:00:00Z,1011.7,15.5,99.6,82.5,168.3,3.1,lightrain,cloudy,0.0,cloudy,0.0
2024-08-20T05:00:00Z,1011.2,15.2,99.3,80.5,164.6,3.8,lightrain,cloudy,0.0,cloudy,0.0
2024-08-20T06:00:00Z,1010.7,15.3,100.0,78.9,159.0,4.4,lightrain,cloudy,0.0,cloudy,0.0
2024-08-20T07:00:00Z,1010.8,15.5,100.0,83.4,165.7,4.6,rain,cloudy,0.0,rain,1.1
2024-08-20T08:00:00Z,1010.5,15.9,100.0,83.6,155.6,6.0,rain,cloudy,0.0,rain,1.1
2024-08-20T09:00:00Z,1010.5,16.4,99.9,81.7,163.1,6.1,rain,cloudy,0.0,rain,1.3
2024-08-20T10:00:00Z,1010.4,16.8,100.0,79.2,166.4,5.7,lightrain,cloudy,0.0,rain,2.1
2024-08-20T11:00:00Z,1010.5,17.0,100.0,77.2,173.5,5.2,lightrain,rain,0.0,rain,2.2
2024-08-20T12:00:00Z,1010.3,16.8,100.0,88.0,170.4,2.6,lightrain,lightrain,0.1,rain,1.6
2024-08-20T13:00:00Z,1009.9,17.0,100.0,84.1,174.7,3.2,lightrain,cloudy,0.0,rain,1.5
2024-08-20T14:00:00Z,1009.6,17.3,100.0,76.8,177.4,4.8,rain,rain,0.30000000000000004,rain,1.4
2024-08-20T15:00:00Z,1009.2,17.2,100.0,83.5,172.4,4.9,rain,rain,0.6000000000000001,rain,1.2
2024-08-20T16:00:00Z,1008.6,16.9,100.0,92.6,159.9,3.6,rain,rain,0.2,lightrain,0.0
2024-08-20T17:00:00Z,1007.9,16.6,100.0,92.4,156.2,3.2,rain,lightrain,0.0,lightrain,0.6000000000000001
2024-08-20T18:00:00Z,1007.1,16.5,100.0,89.6,149.1,3.5,rain,cloudy,0.0,lightrain,0.6000000000000001
2024-08-20T19:00:00Z,1006.9,16.3,100.0,83.1,150.9,3.7,rain,cloudy,0.0,lightrain,0.6000000000000001
2024-08-20T20:00:00Z,1006.2,16.2,99.9,79.9,144.3,3.6,rain,cloudy,0.0,rain,2.3
2024-08-20T21:00:00Z,1005.4,16.6,93.2,77.8,147.2,4.0,heavyrain,cloudy,0.0,heavyrain,5.2
2024-08-20T22:00:00Z,1004.9,16.6,100.0,78.2,154.7,4.0,heavyrain,rain,0.4,heavyrain,9.5
2024-08-20T23:00:00Z,1004.2,16.9,100.0,84.4,151.0,4.5,heavyrain,lightrain,0.1,heavyrain,9.8
2024-08-21T00:00:00Z,1003.8,17.0,100.0,85.7,150.7,5.0,heavyrain,cloudy,0.0,heavyrain,11.5
2024-08-21T01:00:00Z,1003.1,16.8,99.9,86.9,148.0,4.6,rain,heavyrain,1.2,heavyrain,13.6
2024-08-21T02:00:00Z,1002.5,16.9,100.0,91.6,149.7,3.3,rain,heavyrain,2.8,heavyrain,14.3
2024-08-21T03:00:00Z,1002.0,16.6,100.0,93.9,154.0,3.6,lightrain,heavyrain,3.8,heavyrain,12.6
2024-08-21T04:00:00Z,1001.5,15.4,100.0,91.7,148.2,2.8,lightrainshowers_day,heavyrain,1.0,heavyrain,7.6
2024-08-21T05:00:00Z,1001.0,15.3,100.0,91.3,96.6,2.5,lightrainshowers_day,heavyrain,0.9,heavyrain,6.7
2024-08-21T06:00:00Z,1001.0,15.2,100.0,93.6,140.0,4.5,lightrainshowers_day,heavyrain,1.8,heavyrain,5.4
2024-08-21T07:00:00Z,1000.8,15.1,100.0,93.1,129.7,4.1,,heavyrain,1.4,rain,3.0
2024-08-21T08:00:00Z,1001.3,15.2,100.0,94.1,169.0,4.1,,rain,0.5,rain,1.2
2024-08-21T09:00:00Z,1001.5,15.3,100.0,93.8,166.2,2.8,,rain,0.4,partlycloudy_day,0.0
2024-08-21T10:00:00Z,1001.7,15.7,100.0,94.8,173.5,2.8,,cloudy,0.0,partlycloudy_day,0.0
2024-08-21T11:00:00Z,1001.7,16.0,100.0,93.6,173.2,3.1,,cloudy,0.0,partlycloudy_day,0.0
2024-08-21T12:00:00Z,1001.7,16.7,96.3,89.9,178.2,3.5,partlycloudy_day,cloudy,0.0,fair_day,0.0
2024-08-21T13:00:00Z,1001.5,17.5,63.9,83.8,191.8,3.2,,partlycloudy_day,0.0,,
2024-08-21T14:00:00Z,1000.9,18.3,61.7,71.3,199.0,3.7,,partlycloudy_day,0.0,,
2024-08-21T15:00:00Z,1001.0,18.7,59.5,61.6,214.7,4.8,,partlycloudy_day,0.0,,
2024-08-21T16:00:00Z,1001.3,17.8,33.0,68.2,47.4,2.0,,fair_day,0.0,,
2024-08-21T17:00:00Z,1001.1,17.2,0.9,66.6,117.8,0.7000000000000001,,clearsky_day,0.0,,
